#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654   13.609711397  -38.231738410
   -3.078760801   11.247089819  -36.821747657
   -3.015928947    9.004998703  -34.489044258
   -2.953097094    6.940223194  -31.203394293
   -2.890265241    5.104771077  -27.271101285
   -2.827433388    3.541306442  -22.858536859
   -2.764601535    2.256598274  -18.083344315
   -2.701769682    1.274419813  -13.298689715
   -2.638937829    0.583370384   -8.740986970
   -2.576105976    0.167486011   -4.565028580
   -2.513274123    0.000000000   -0.853471473
   -2.450442270    0.050131078    2.174403163
   -2.387610417    0.272206382    4.559444474
   -2.324778564    0.624630960    6.274153994
   -2.261946711    1.057978596    7.376075012
   -2.199114858    1.544262107    7.851474969
   -2.136283004    2.042881677    7.772100925
   -2.073451151    2.519039765    7.158698264
   -2.010619298    2.940960796    6.071370926
   -1.947787445    3.279682879    4.525305421
   -1.884955592    3.510239164    2.699889975
   -1.822123739    3.626209182    0.692137056
   -1.759291886    3.615508274   -1.271057197
   -1.696460033    3.495284337   -3.033011521
   -1.633628180    3.272898624   -4.169174220
   -1.570796327    2.998563134   -4.587752152
   -1.507964474    2.729615895   -4.170921191
   -1.445132621    2.518008867   -2.783746811
   -1.382300768    2.418526969   -0.393556359
   -1.319468915    2.500752111    2.708820045
   -1.256637061    2.796350761    6.436546360
   -1.193805208    3.341634262   10.443057445
   -1.130973355    4.136221586   14.624439699
   -1.068141502    5.185517925   18.569009585
   -1.005309649    6.483195849   22.238852881
   -0.942477796    7.996118146   25.710296681
   -0.879645943    9.718372419   28.824648986
   -0.816814090   11.627091963   31.633210266
   -0.753982237   13.704259317   34.057968878
   -0.691150384   15.914314356   36.094740760
   -0.628318531   18.240258154   37.529208085
   -0.565486678   20.628780322   38.175190484
   -0.502654825   23.028735152   37.858209537
   -0.439822972   25.379164633   36.420597246
   -0.376991118   27.603942166   33.931974515
   -0.314159265   29.636948199   30.267667368
   -0.251327412   31.397494083   25.570015927
   -0.188495559   32.837632913   19.981206097
   -0.125663706   33.908134794   13.800079162
   -0.062831853   34.582152556    7.241049124
    0.000000000   34.842877211    0.644230856
    0.062831853   34.691547667   -5.610443041
    0.125663706   34.162846704  -11.338089354
    0.188495559   33.298595615  -16.282127698
    0.251327412   32.150415243  -20.299514552
    0.314159265   30.787626728  -23.233458429
    0.376991118   29.270397410  -25.095707900
    0.439822972   27.666499427  -25.992260954
    0.502654825   26.033117692  -26.146581831
    0.565486678   24.408339420  -25.685722157
    0.628318531   22.835924843  -24.761219090
    0.691150384   21.328622527  -23.415642891
    0.753982237   19.917053756  -21.607597803
    0.816814090   18.634590600  -19.329759151
    0.879645943   17.508299660  -16.406330285
    0.942477796   16.596733806  -12.660071395
    1.005309649   15.946555657   -8.036776980
    1.068141502   15.615160575   -2.578766648
    1.130973355   15.648271623    3.556232200
    1.193805208   16.083860044   10.026094663
    1.256637061   16.918974264   16.390434939
    1.319468915   18.136010425   22.139484246
    1.382300768   19.680900473   26.802204264
    1.445132621   21.475768236   30.014232292
    1.507964474   23.426342666   31.424565747
    1.570796327   25.406835188   31.145736157
    1.633628180   27.318146871   29.261208010
    1.696460033   29.067405215   26.061165369
    1.759291886   30.584497625   21.959336515
    1.822123739   31.830471268   17.435528944
    1.884955592   32.789299727   12.876123252
    1.947787445   33.466325208    8.721320600
    2.010619298   33.899144194    5.026854646
    2.073451151   34.124460496    2.018625284
    2.136283004   34.180652829   -0.416364890
    2.199114858   34.090215656   -2.390177572
    2.261946711   33.880348140   -4.241125935
    2.324778564   33.566647008   -6.130711380
    2.387610417   33.124534124   -8.230139434
    2.450442270   32.541560383  -10.612241760
    2.513274123   31.794924805  -13.393953825
    2.576105976   30.866782554  -16.513491876
    2.638937829   29.729435770  -19.925688587
    2.701769682   28.366655528  -23.568718069
    2.764601535   26.777486534  -27.172635781
    2.827433388   24.968328308  -30.644322588
    2.890265241   22.947106377  -33.671399262
    2.953097094   20.750118570  -36.160930137
    3.015928947   18.423650397  -37.804031474
    3.078760801   16.022581034  -38.534530036
